BIODIESEL_CLASS	BIOMASS_CLASS	ETHANOL_CLASS	HYDRO_CLASS	SOL_CLASS	TOT_GEO_CHANGE	TOT_HYDRO_CHANGE	TOT_SOL_CHANGE	TOT_WIND_CHANGE	WIND_CLASS	month-year
stagnant	stagnant	stagnant	stagnant	stagnant	same	same	same	same	stagnant	197,600.0833
stagnant	med -	stagnant	med -	stagnant	increased	increased	increased	increased	stagnant	197,600.1667
stagnant	med +	stagnant	med +	stagnant	increased	increased	decreased	decreased	stagnant	197,600.25
stagnant	low -	stagnant	med -	stagnant	decreased	decreased	increased	increased	stagnant	197,600.3333
stagnant	low +	stagnant	med +	stagnant	decreased	increased	increased	increased	stagnant	197,600.4167
stagnant	low -	stagnant	low +	stagnant	increased	decreased	decreased	decreased	stagnant	197,600.5
stagnant	low +	stagnant	low +	stagnant	increased	decreased	decreased	decreased	stagnant	197,600.5833
stagnant	low +	stagnant	med -	stagnant	decreased	decreased	increased	increased	stagnant	197,600.6667
stagnant	low -	stagnant	high -	stagnant	increased	decreased	increased	increased	stagnant	197,600.75
stagnant	low +	stagnant	low +	stagnant	decreased	decreased	decreased	decreased	stagnant	197,600.8333
stagnant	low -	stagnant	med -	stagnant	decreased	decreased	decreased	decreased	stagnant	197,600.9167
stagnant	low +	stagnant	low +	stagnant	increased	decreased	decreased	decreased	stagnant	197,601
stagnant	med +	stagnant	low +	stagnant	increased	decreased	decreased	decreased	stagnant	197,700.0833
stagnant	med -	stagnant	high -	stagnant	increased	decreased	increased	increased	stagnant	197,700.1667
stagnant	high +	stagnant	high +	stagnant	increased	increased	increased	increased	stagnant	197,700.25
stagnant	low -	stagnant	med -	stagnant	decreased	increased	increased	increased	stagnant	197,700.3333
stagnant	low +	stagnant	low +	stagnant	increased	decreased	decreased	decreased	stagnant	197,700.4167
stagnant	low -	stagnant	med -	stagnant	decreased	decreased	decreased	decreased	stagnant	197,700.5
stagnant	low +	stagnant	low -	stagnant	increased	decreased	decreased	decreased	stagnant	197,700.5833
stagnant	low +	stagnant	low -	stagnant	decreased	decreased	decreased	decreased	stagnant	197,700.6667
stagnant	low -	stagnant	low -	stagnant	increased	increased	increased	increased	stagnant	197,700.75
stagnant	low +	stagnant	low +	stagnant	increased	increased	decreased	decreased	stagnant	197,700.8333
stagnant	low -	stagnant	high +	stagnant	decreased	increased	decreased	decreased	stagnant	197,700.9167
stagnant	low +	stagnant	high +	stagnant	decreased	decreased	decreased	decreased	stagnant	197,701
stagnant	med +	stagnant	med +	stagnant	decreased	increased	decreased	decreased	stagnant	197,800.0833
stagnant	med -	stagnant	high -	stagnant	decreased	decreased	increased	increased	stagnant	197,800.1667
stagnant	high +	stagnant	high +	stagnant	decreased	increased	increased	increased	stagnant	197,800.25
stagnant	low -	stagnant	low +	stagnant	decreased	increased	increased	increased	stagnant	197,800.3333
stagnant	low +	stagnant	high +	stagnant	decreased	increased	decreased	decreased	stagnant	197,800.4167
stagnant	low -	stagnant	high -	stagnant	increased	decreased	increased	increased	stagnant	197,800.5
